track_name,artist,album,year
\xc2\xbfD\xc3\xb3nde va Chichi?,Sierra Maestra,Tibiri Tabara,1997
Barking Dogs (From Piouhgd),Butthole Surfers,Piouhgd + Widowermaker!,1944
OUTE ENA EFHARISTO,Despina Vandi,Profities,1965
Midnight Swim,Javier Navarrete,Cracks,2005
In A Subtle Way,Jacob Young,Pieces Of Time,2002
Spin,bScarlets Remains,The Palest Grey,2007
Burning In The Aftermath,The Suicide Machines,A Match & Some Gasoline,2003
Angie (1993 Digital Remaster),The Rolling Stones,bJump Back - The Best Of The Rolling Stones_ 71-93,1988
Sabor Guajiro,Roberto Torres,Lo Mejor con La Orq. Broadway,1962
Human Cannonball,Loudon Wainwright III,Grown Man,1995
Glory Be,R.L. Burnside,A Bothered Mind,2004
Crossfire,Stevie Ray Vaughan,Greatest Hits,1992
bI Cant Be Satisfied,John Hammond,Bluesman,2002
Nashville Parthenon,Casiotone For The Painfully Alone,Etiquette,2006
Cocain Ducks,Ec8or,Ec8or,1995
Human Being,The New York Dolls,Too Much Too Soon,1974
The More I See You,Eliane Elias,Bossa Nova Stories,2009
Certain Things We Do,Lost Boyz,Love_ Peace & Nappiness,1997
Forming,The Germs,Germicide,1977
Mafu\xc3\xa1,Yamandu Costa,Mafu\xc3\xa1,1930
Driving Home For Christmas,Chris Rea,The Road To Hell Part 2,1986
Spooks In Space,Perrey And Kingsley,Vanguard Visionaries,1966
Tous Les Gar\xc3\xa7ons Et Les Filles,Eurythmics,Be Yourself Tonight,1985
Too Much Saturn,Francis Dunnery,Hometown 2001,1995
Movement 4 [from Kiss] (Album Version),John Cale,Eat / Kiss: Music For The Films By Andy Warhol,1997
Stream,Suzanne Ciani,The Ultimate Most Relaxing New Age Piano in the Universe,2002
Make Me Over,Vickie Winans,Classic Gold: Best of All,1937
Deform (live),The Berzerker,The Berzerker,2000
Wicker Chair,Kings Of Leon,Holy Roller Novocaine,2003
bAn ti chans,Edith Lefel,Jeux de dames_ vol. 1 (r\xc3\xa9alisation Ronald Rubinel),1971
bI Will Love Again (JJs Club Radio),Taras,I Will Love Again,1935
Stickin In My Eye,NOFX,White Trash ......,1992
Ota kiinni,Murskahumppa,Murskapunkkia,1974
Entre Can\xc3\xadbales,Soda Stereo,Canci\xc3\xb3n Animal,1990
Rosemary Recalls,Bruce Rowland,The Man from Snowy River,1985
Sudanese Dance,Xcultures,One World One People,2000
Where The Thunder Roars (Tales Of Wonder Album Version),White Heart,Tales Of Wonder,1999
Wanna Be A Player,Heavy D / McGruff,Waterbed Hev,1997
Panama (Remastered Album Version),Van Halen,The Best Of Both Worlds,1976
bLets Get It Started,Black Eyed Peas,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,2004
Metal,Nine Inch Nails,Things Falling Apart,2000
She Fell Away (2009 Digital Remaster),Nick Cave & The Bad Seeds,Your Funeral... My Trial (2009 Digital Remaster),2001
Next Time,Nadine Renee,Oasis of Love,1959
bIts My Party,Lesley Gore,b60s Triple set,1963
Complicate It,Smartbom,Yeah.  Well_ Anyway....,2001
Monde De Fou,Suburbs,Un Titre de Toune,2005
Opus a Satana (Part 2),Emperor,Live Inferno,1985
This Melody (Live),Julien Clerc,Vendredi 13 - 1981,2007
bIm Gone This Time,Glen Campbell,Unconditional Love,1985
You Feel Good All Over,T.G. Sheppard,The Very Best Of,2002
Indian Love Call,Slim Whitman,Country Lovers. Vol. 3,1990
You Can Still Be Free,Savage Garden,Affirmation,1999
I Never Came,Queens Of The Stone Age,Lullabies To Paralyze,2005
Dixie,Hank Penny & The Lincoln Penny Orchestra,bIts War Again,1971
Commercial Reign,Inspiral Carpets,The Singles,1990
Hourglass,Borialis,What You Thought You Heard,1967
Wake,The Dirty Skirts,bDaddy Dont Disco,1941
Caricia Y Herida,Flor Silvestre,15 Exitos Vol. 2 Flor Silvestre,1957
Le tortillard,B\xc3\xa9zu,Le top du p\xc3\xa8re N\xc3\xb6el,1947
WKYA (drop),Redman,Malpractice,2001
Ter\xc3\xa4slintu,Solistiyhtye Suomi,20 Suosikkia / Rilluttele y\xc3\xb6,1968
bNows The Time To Fall In Love,Eddie Cantor,The Fabulous Eddie Cantor,1987
Grim Prospects (Gross Prospects - Bad Trip Remix),Schizoid,Grim Prospects Remixes - Grim Prospects Will Never End,1930
Mangos,Kai Winding,The Incredible Kai Winding Trombones,1961
A Distant Voice,Sonny Simmons,Staying on the Watch,1976
Openbare Weg,Mira,Openbare Weg,2006
President Johnson,Citizen Kaned,Tip World Singles 2000,2000
Lead Me Lord,The Brooklyn Tabernacle Choir,Praise Him...Live!,1995
Spontanous Combustion,Ellen McIlwaine,Spontanous Combustion,1970
Choro,Vince Guaraldi / Bola Sete,From All Sides,1930
Ma Louise,Maurice Chevalier,Maurice Chevalier  The Essential Collection Vol 1,1996
I Want You (Forever),Carl Cox Vs Yousef,Dave Pearce Best of the Dance Years 1988 - 1992,1991
Hate,Organized Konfusion,The Equinox,1997
bI Cant Stop Loving You,Martina McBride,Timeless,2005
Thank You Lord,Horace Andy,Feel Good All Over: Anthology 1970-1976,1985
How Can You Call That Beautiful (Stewkey Vocal),Nazz,13th And Pine,1951
bCheatin In The Next Room,Tyrone Davis,Call Tyrone,2003
Candy Man,Hot Tuna,Final Vinyl,1971
I See The Boys Of Summer,Richard Burton,Fifteen Poems By Dylan Thomas,1992
Three Is a Crowd,Rory Block,The Early Tapes 1975-1976,1956
On Bended Knee,Boyz II Men,Legacy,1994
My Four Reasons,Howard Armstrong,Louie Bluie Film Soundtrack,1976
Little Girl (LP Version),Donny Hathaway,Donny Hathaway,1971
Eternamente Amame,Miguel Gallardo,Canciones De Amor De Miguel Gallardo,1946
Niev nietch nievitch,Les Ogres De Barback,Irfan_ le h\xc3\xa9ros,1999
Come Over,DJ X-Change featuring DJ Joey A,What up Detroit,2010
Blue Taxi,Morel,Peterbilt Angel,1997
I Want Love (Tween You & Me) (Album Version),Tony Joe White,Homemade Ice-Cream,1980
White Feather,Wolfmother,White Feather,2009
Christlike Roche,The Roches,Can We Go Home Now,1995
You Rascal You,Bob Margolin,In North Carolina,1946
Sympathy,Thomas Battenstein,Wintertime,1991
They Say (Album),Jupiter Rising,Electropop,2007
bSimons Folly,Dharma Bums,DUMB: 4-track cassette recordings (1987),1966
Crawl Before You Ball (Album Version),Saafir,The Hit List,1999
Medicate Myself,The Verve Pipe,Underneath,2001
Biding Her Time,Bob Neuwirth,99 Monkeys,1990
More And More  (LP Version),Marvin Sapp,Nothing Else Matters,1993
Cowboy Ways,James Hunter,A Tribute to The American Horse,1976
Brasas Vivas,Nelson Ned,Mis Momentos,1968
Kolomeyke,Mish Mash,Mish Mash_ Le Blues European: Musique Slave Et Klezmer,1972
In This Life,Cama,In this Life,2009
bGroovin In The Midnight,Maxi Priest,Best Of Maxi Priest,1991
Waiting,Porcupine Tree,Signify (Special Edition),1997
bAchek Ouyounik (2009 Digital Remaster),Ragheb Alama,Bravo Alayki Rare recording,1973
Hell,Foo Fighters,In Your Honor,2005
bHips Dont Lie (featuring Wyclef Jean),Shakira Featuring Wyclef Jean,Essential R&B Hit Selection,1932
Juoksuhauta-twist (El\xc3\xa4m\xc3\xa4 juoksuhaudoissa),The Avengers,20 Suosikkia / Rautalankaklassikot / Kolme kitaraa,1956
I Got Over It (Album Version),Robben Ford,Talk To Your Daughter,1988
One Less Bell To Answer,Brazilian Tropical Orchestra,American Songbook - Bacharach,1944
Festa,Gil Semedo,Nha Vit\xc3\xb3ria,1939
Te Hacen Falta Vitaminas,Soda Stereo,Gira Me Ver\xc3\xa1s Volver,1984
Sense And Trick,Xmilk,Scarcity,1940
Fire (Oscar G Space Vocal Mix),Dolce; Oscar G.,Fire,1953
Hanging On (Medium Key Performance Track Without Background Vocals),Britt Nicole,Hanging On (Premiere Performance Plus Track),2003
Grim Prospects (Version 2 Remix),Schizoid,Grim Prospects Remixes - Prospects Are Getting Grimmer,1988
Christmas In Jamaica,Toni Braxton Featuring Shaggy,Snowflakes,2001
Gossippo Perpetuo,Perrey And Kingsley,The Out Sound From Way In!,2001
2190 Dias Contigo,Sven Tasnadi,El Fuego De Dentro,1948
No Control,Eddie,No Control,2002
The Vitalized Shell,Enthroned,Pentagrammaton,2010
Mozart,Suzanne Ciani,Pianissimo,1989
Ciao Milan,Milan Band,Milan Milan,1969
Lend Me Your Chopper,Johnny Osbourne,Auralux Reggae Showcase,2004
Letter To Heaven,Dolly Parton,Heaven,1971
Heaven is Where The Heart Is,Rance Allen Group,Up Above My Head,1981
Inside Jo,Pearl Jam,Pearl Jam,2006
Take A Look  (LP Version),Natalie Cole,Take A Look,1935
The Czar: Usurper/Escape/Martyr/Spiral (Album Version),Mastodon,Crack The Skye,2009
Bulgarian Dream,Kiril Valeri,Behind The Blue,1953
Amalgama,Word,Matumago X Press,1959
Born and Raised In Compton,DJ Quik,The Best of DJ Quik - Da Finale,1991
bWere Gonna Go Fishin,Hank Locklin,RCA Country Legends,1947
Robbers Kill Cop,BT,LOOK (Original Motion Picture Soundtrack),1963
Relax,2-4 Grooves feat. Reki D.,Relax,2009
Sweet By And By,The Jordanaires,Joy In Our Hearts - The Gospel Side Of The Jordanaires,1990
Orgofart,Descendents,Enjoy!,1986
Bitch Is Back,L.A. Guns,A Nite On The Strip - Live,1988
Naked Albino,Bare Jr.,Boo-Tay,1998
Johnny Loves Me (LP Version),Shelley Fabares,The Best Of Shelley Fabares [Digital Version],2009
Dearly Beloved,Norrie Paramor,In London_ In Love,1989
The Look Of Love,Gary Hobbs,Of My Times,1934
Cooler Than You,Diesel Boy,Venus Envy,1998
Taryns Deepest Fear,Angelo Badalamenti,bFreddys Favorites: The Best of A Nightmare On Elm Street,1982
Summer Dying Fast,Cradle Of Filth,Bitter Suites to Succubi,1994
Still,Jim Chappell,Manila Nights,2000
Snapshot,Ladybug,Snapshot,1962
End Of The Road (Head Horny\x19s Remix),Bandido,End Of The Road - Single,1932
7 Miles,Brixx,7 Miles,1947
The Frail,Nine Inch Nails,Things Falling Apart,1999
Para Milladoiro,Susana Seivane,Os so\xc3\xb1os que volven,2010
Stone Cold Fingers (Bonus Track),Leland Martin,Leland Martin,1995
Snowball,Test Icicles,For Screening Purposes Only,2005
b(We Dont Need This) Fascist Groove Thang,Heaven 17,Endless,1981
Drunk Alone,React,That Which Does Not Kill You...Can Only Make You Stronger : Three Way Split,1991
Charisma,Sven Tasnadi,Break The Night,2002
Going Down Slow,Mance Lipscom,Texas Songster,2000
All Rise,Scott Wesley Brown,The Scott Wesley Brown Collection: A Library of 35 Favorite Songs,1988
Jogo Limpo,Fl\xc3\xa1vio Jos\xc3\xa9,Seu Olhar N\xc3\xa3o Mente,1977
Silent Hill,Moss,bNever Be Scared / Dont Be A Hero,2009
Our Love Is Here To Stay,Pery Ribeiro,bSWonderful Movien Bossa,1932
Everything Changes,Soular,Time and Space,1978
Master Of Disharmony,Dimmu Borgir,Death ... Is just the beginning Vol.4,1996
(This Is Not A) Love Song (Live),Public Image Ltd,Live In Tokyo,1983
What Are We Here For,Gary Moore,Dark Days In Paradise,1997
Une petite pause,Pascal Sangla,Une petite pause,2010
Wig,bThe B-52s,bThe B52s,1986
Perasmena Mesanihta,Dakis,Moments,1976
God Save the Queen (Live),Sex Pistols,Punk International,1988
Forever,Chris Brown,Forever,1951
Sun Is Shining,Deekline & Wizard,Breaks_ Beats & Blondes,2004
New Age,Daniela Dess\xc3\xac,Reiki - Spiritual Fitness_ Relaxation and Chakra Meditation,1966
Have Yourself A Merry Little Christmas,Hem,Peace At Last - EP,2005
U Killed It,Lily Allen,Alright_ Still (Deluxe),2006
Rain And Snow,Pentangle,Light Flight - The Anthology,1933
Gerra De De,DJ Dips,This DJ,1945
Kako mi je pitas sad,Ana Bekuta,bZlatni hitovi 90 1,1932
Voices On The Corner,Jason Miles,Miles To Miles,1941
(Bloody Paw On The) Kill Floor,Busdriver,RoadKillOvercoat,2007
I Wish My Mother Was Here,Byther Smith,Addressing The Nation With The Blues,1989
Inolvidable,Bebo & Cigala,Lagrimas Negras,2003
Miracle,Bizarre Inc,Surprise,1996
Witch Weed (Live),Bongzilla,Apogee,1999
Not Buried Deep Enough,The Gone Jackals,Bone To Pick,1995
Give Me 40 Acres (To Turn This Rig Around),The Willis Brothers,Strictly Trucking,1966
Ernesto Nazareth,Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,Music Of The Brazilian Masters,2003
The Cube (Live),S.U.P,To Live Alone,2001
Get Back Down,Boogie Pimps,PeeBoy EP,1936
Battle Of The Rosebud / Cries,Brian Keane,The Way West,1945
Beyond the Light,Aberdeen,Suburban,1936
Spaceman,The Killers,Hitzone 49,2008
bPulecenella e m\xc3\xb2,Gloriana,Il meglio di Gloriana,2009
bIskorosten (instr.),Butterfly Temple,Za Solntsem Vsled,1952
Big Stax/High Volts (Album Version),Grant Geissman,Time Will Tell,1966
It Goes On,20/20,4 Day Tornado,1970
Pecado De Amor,Jos\xc3\xa9 Augusto,Ao Vivo,1987
Illuminate,Orbital,The Altogether,2001
Never Forget Me,Bone Thugs-N-Harmony / Akon,Strength & Loyalty,2007
Ukkosenjumalan poika,Moonsorrow,Kivenkantaja,2001
A B***** Is A B***** (Edited),N.W.A.,Straight Outta Compton,1989
Kick Out The Jams,Rage Against The Machine,Live at the Grand Olympic Auditorium,2000
Me And My Buddy,Jazz Gillum,Take One More Chance With Me,1945
Amber Changing,Rise Against,Revolutions Per Minute,2003
Murder Academy,Ultraviolence,Psycho Drama,1995
Hey Daddy,Korn,Issues,1999
4 Sea Interludes Op. 33a: Storm,Sir Neville Marriner,Britten: Orchestral Works,1962
I Need You Now,Agnes,I Need You Now,1980
Atmosphere Station,James Horner,Aliens - The Deluxe Edition,1986
Walk Away,Tantric,Mind Control,2009
Shadows That Move,Mastodon,Call of the Mastodon,2001
Smile,Xcultures,One World One People,2000
Mountains Of Mourne,The Irish Tenors,Live From Dublin,1980
Kite Live from Sydney,U2,Window In The Skies,2007
Loco (Crazy),Little Joe,Nuestra Tradici\xc3\xb3n,1974
Ever Be,Korn,Untitled,2007
Oh Look Misery,Blind Blake & The Royal Victoria Hotel Calypsos,Bahamian Songs,1937
Yesterdays,Percy Faith,A Jerome Kern Songbook,1972
bTeachers Pet,Extreme,Extreme,2001
Palmer enqu\xc3\xaate,Alexandre Desplat,bLenqu\xc3\xaate corse - bof,2004
Go To Hell,Prozak,Tales From The Sick,2003
Moon River - Original,Jerry Butler,Jerry Butler Selected Hits Vol. 4,1987
La Plus Bath Des Javas,Yvette Horner,bLessentiel 2003,1982
Infidel,Delta 9,No Regrets,1978
English Summer Rain,Placebo,Sleeping With Ghosts,2003
Spanish Shuffle (Album Version),Tam Tam Go!,Miscelanea,1941
Intro,Gertrudis,500,2009
Empress So Divine,Warrior King,Virtuous Woman,2002
Terapia De Amor Intensiva,Soda Stereo,De Musica Ligera,1988
Haunting,LORE,My Soul Speaks,1959
Lies Of Hate,Soul Asylum,Candy From A Stranger,1998
The First Noel,Carl Doy with NZSO,Music For Christmas Lovers,1964
Musical Episode,Horace Andy,Exclusively,2005
Beautiful Brown eyes,Jimmy Wakely,Country Masters Vol 1,2001
Drop the Bass,The Nightraver & The Magican,Ultimate Happy Hardcore 3,1991
The Last Word (Amended Version),Rah Digga (Featuring Outsidaz),Dirty Harriet,2000
Hard Times,RUN-DMC,Run DMC,1984
Just As Much As Ever,Bert Kaempfert And His Orchestra,Love That Bert Kaempfert,1971
Filipino Baby,Hank Locklin,bPlease Help Me Im Fallin,1987
The Boss,Lady May,Pink Chokolate!,1939
Escapist,Nightwish,Made In Hong Kong (And In Various Other Places),2007
bJeffreys Dark Side,Angelo Badalamenti,Blue Velvet,1987
Someone to Watch Over Me,Frank Chacksfield,Windsor Strings,1997
Milagre Dos Peixes/ Musica Incidental: Cais/ Music Incidental: San Vicente,Cesar Camargo Mariano/Helio Delmiro,Samambaia,1960
Pinned To The Ground (album version),Buzzhorn,Disconnected,2002
Always And Never (Album Version),Silverstein,Discovering The Waterfront,2005
Myth Takes,!!!,Myth Takes,2007
Carpe PM,The Secret Life of Teenage Girls,The Last Living American Marxists,1986
Who Shot Ya (Amended Album Version),The Notorious B.I.G.,Greatest Hits,2007
Poor Tom (Album Version),Led Zeppelin,Coda,1982
Wounded Hearts,Sandi Thom,The Pink & The Lily,2008
bLoves Been Good To Me,Carl Belew,20 Greatest Hits,1992
When Morning Comes To Town,The Field Mice,Coastal,1989
Estate,Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,Once More,1941
Freedom Enough (From Silent Mother Nature),Catherine Howe,Harry / Silent Mother Nature,2001
Hai Shava,Malkit Singh,Hai Shava,1993
Nutty Block,Rodney O & Joe Cooley,Get Ready To Roll,1991
Until You Love Someone,Dean Martin,Love From&The Rat Pack,2005
Part One From Triomusic,Strata,STRATA,2004
Hello Young Lovers (LP Version),James Darren,Love Among The Young,1954
Same Man,Till West & DJ Delicious,Ministry of Sound Presents 100,2006
Quiero Ir Ao Mar,Carlos Nu\xc3\xb1ez,Cinema Do Mar,2005
The Owl and the Pussy-cat,Igor Stravinsky,Essential Igor Stravinsky,1952
Set You Free This Time,Gene Clark,Echoes,1998
Bloco Da Solidao (1996 Digital Remaster),Maysa,Talento,1956
Will You Love Me Tomorrow,The Shirelles,Dreamboats & Petticoats 2,1960
Stille nacht_ heilige nacht,The American Boychoir,Voices of Angles - Christmas Favorites from the American Boychoir,1972
Nine Ways,JDS,Cream Trance Anthems Ibiza 2009,2007
Northern Downpour (Album Version),Panic At The Disco,Northern Downpour,1955
Bad Seed,Jan Howard,Love Is A Sometimes Thing,1939
Exchange,Abraham Laboriel,Guidum,1995
bMarie DAquitaine,Mich\xc3\xa8le Arnaud,Disque Path\xc3\xa9,1959
Oh My God,Sticky Fingaz,Oh My God,2000
Joy To The World,Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge,A Classic Christmas,1984
Hoochie Coochie Man,The Jeff Healey Band,Road House,1989
Ftei O Erotas,Angela Dimitriou,Thisia Live,2005
The Second Summer Of Love,Danny Wilson,Bebop Moptop,1989
Prelude And Fugue In C Major BWV 531 : Fugue,Lionel Rogg,Bach: Organ Works Vol.2,1951
bDont Phunk With My Heart,Java,Dance Tribute to Lady Gaga Vs Black Eyed Peas,1951
Give It What U Got,SWAMI featuring Asuivre,EQUALIZE,2007
Dancing To A Standstill,The Black Velvet Band,King Of Myself,1971
Isla del Luna,Lisa Lynne,Seasons Of The Soul,1999
Spirit,bPez,Realive Tour 2002 -Odoranya Son Son- in Tokyo,2001
Another Long One,Shawn Colvin,Steady On,1989
Leng Jing,Stephy Tang,Music Cafe,1938
OAKtown,Casual,The Building,1932
Larger Than Life,Backstreet Boys,Just Want You To Know,1999
I Hold Your Hand In Mine [Live At Royal Albert Hall],Tiny Tim,Live! At The Royal Albert Hall,2000
Baby Come To Me,Kenny G featuring Daryl Hall,At Last... The Duets Album,1977
Den Pai Alo,Christos Dantis,Daktilika Apotipomata,1972
It Wont Be Christmas,David Martin,A Christian Christmas Celebration (Gift of Love),2010
Knocked Out Of The Park,John Davis,Leave Home,1984
Salt In NYC,Trafik,Salt In NYC,1989
Wessex Loses a Bride,Nick Ingman;Gavyn Wright,Shakespeare in Love - Music from the Miramax Motion Picture,1952
Erica (2005 Digital Remaster),Eddie Calvert,Oh Mein Papa,1958
Blessed Assurance,Glad,Simply Glad,1993
Loaded Like A Gun,Steel Rain,Trial and Error,1983
Rumba De Barcelona,Los Manolos,Rumbas Sin Fronte Ras,1983
Clementina Santaf\xc3\xa8,Gloriana,Il meglio di Gloriana,1951
Wild Rose (Back 2 Basics Mix),Bombay Rockers,Wild Rose,1992
Kutt Free (DJ Volume Remix),Jinx,Kutt Free,2003
Ten Tonne,Chase & Status,Ten Tonne EP,2005
A Higher Place (Album Version),Tom Petty,Wildflowers,1994
Sono andati? Fingevo di dormire,Montserrat Caball\xc3\xa9;Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti,Puccini: Highlights From La Boheme,2003
Got My Mojo Workin,Pucho & His Latin Soul Brothers,Mucho Pucho,1956
Get Your Head Stuck On Your Neck,Soul Mekanik,Get Your Head Stuck On Your Neck,1977
Jenny Take a Ride,Mitch Ryder,American Legend,2004
Sonnerie lalaleul\xc3\xa9 hi houuu,Blingtones,Sonneries tyroliennes,1986
Midnight Star,Luna Orbit Project,Northern Blue,1956
Native Soul,Danilo Perez,. . . Till Then,2003
Der Kleine Dompfaff,Line Renaud,Platinum Line Renaud,1980
A Whiter Shade Of Pale (Live @ Fillmore West),King Curtis,Live At Fillmore West [w/bonus tracks],1946
The Ballad Of Sleeping Beauty,Sophie B. Hawkins,Whaler,1994
Streets On Fire (Explicit Album Version),Lupe Fiasco,bLupe Fiascos The Cool,1985
Music is what we love,Wilks,Tears,1942
City Slickers,Marc Shaiman,The Bucket List,2008
Intro,40 Grit,Nothing To Remember,2003
Harajuku Girls,Gwen Stefani,Love Angel Music Baby,2004
Prognosis,Steve Morse,Major Impacts,2000
Living Hell,Bitter End,Harsh Realities,1938
Small World,Ethel Merman,Gypsy (Original Broadway Cast),1964
Truck Driving Man/Down In The Caribbean,Leon Russell & New Grass Revival,New Grass Revival With Leon Russell Live,1989
Swallow The Knife (Live) (Segue),Story Of The Year,Live In The Lou,2005
Mayday,Natural Elements,Lyricist Lounge Vol. 1,1998
Lake Of Dreams,Lisa Lynne,Daughters Of the Celtic Moon: A Windham Hill Collection featuring Lisa Lynne,1998
Because Of You,Neil Sedaka,Love Songs,1999
bUn Peu DAmour Et DAmiti\xc3\xa9,Maurice Larcange,Joue Legrand & Becaud,1992
Rattlesnake!,A Static Lullaby,Rattlesnake!,2008
Disappeared,John Wesley_ John Wesley,Chasing Monsters,2002
Doppelg\xc3\xa4nger [Qliphothic Phantasmagoria],Coph Nia,That Which Remains,2000
bAint No Love Aint No Use (Love To Infinity Full Funk Mix),Tabu feat. Mitzi,bAint No Love (Aint No Use),1957
Ghost Town Rituals (Album Version),Nights Like These,The Faithless,2006
Morning Glory,Oasis,Stop The Clocks,1944
Rudolph The Red-Nosed Reindeer,John Davis & Emma Doyle,Santa Claus Is Coming To Town,1962
Tomorrow Gone,Stew,Something Deeper Than These Changes,2003
bI dont Want to Be Alone Tonight,Jauida,Ocean,1995
bJust A Little Lovin (Will Go A Long Way),Eddy Arnold,Number Ones,1967
Shameless,All Time Low,bSo Wrong_ Its Right,2007
And I Love You So,Brian Dullaghan,Songs For A Wedding - 18 Songs For That Special Day,1959
bL Envers Du D\xc3\xa9cor,Richard Galliano,French Touch,1999
Quiet Time,Regina Belle,Passion,1993
Little Sister,Debbie Davies,Round Every Corner,1998
Song For Mom (LP Version),STEVE CAMP,The Definitive Collection,1960
All Over Me,Jay Tee & Baby Bash,The Camp Is Back,1968
I Hate You,The Stolen Minks,High Kicks,1985
From The Blind (LP Version),Daath,The Hinderers,2006
Misanthrope,Extasick,Extasick and This Dirty Musick,1950
Chains Chains (Live In Hammersmith),UFO,The Official Bootleg Box Set,2002
The Date (Remix By Ana Rago),Avril - Remix By Ana Rago,The Date - Dated Girls Remixes,2002
As My Fire Flies,Pat Travers,Pat Travers,1990
We Wish You A Merry Christmas,SNOWPATROL,CHRISTMAS DANCE SENSATION,1931
B\xc3\xb6se,Die Fantastischen Vier,bJetzt gehts ab - Jubil\xc3\xa4ums-Edition,1991
Saturday Night Is The Loneliest Night In The Week,Jeanie Lambe & The Danny Moss Quartet,The Blue Noise Session,1969
A Mi No Me Importa,Nelson Ned,Mis Momentos,1972
BYOB (Explicit Album Version),Yung Joc,Hustlenomics,2007
bLe Presbyt\xc3\xa8re na rien perdu de son Charme,Philippe Sarde,Le Myst\xc3\xa8re de la Chambre Jaune (Bande Originale du Film),1954
Ven Morena,Orquesta Arag\xc3\xb3n,10 De Colecci\xc3\xb3n,2003
Brighton by the Sea,Jason Miles,To Grover_ With Love,1955
CHAOS INTRO,State of Chaos,Across the nation,1980
Bloody Pig Pile (Live),Dropkick Murphys,bLive On St. Patricks Day,2002
Hex Breaker,Taint,Secrets & Lies,2009
The Melting Moon (Edit),VHS Or Beta,The Melting Moon,2004
Hawaiian Chimes,Leonard Kwan,The Legendary Leonard Kwan : The Complete Early Recordings,1939
Turn Around,True Believers,In This Place,1970
bLaccord\xc3\xa9oniste,bLes Hurlements Dleo,13 ans de caravaning,1999
Tumba Tumba,Charanga Forever,La Charanga Soy Yo,2000
bWhy dont you eat where you slept last night ?,Zuzu Bollin,Hot Rhythm & Cool Blues,1936
Suffocating Under Words Of Sorrow (What Can I Do),Bullet For My Valentine,The Poison,2005
I\x19m Moving On,The Hit Factory,The Hit Factory,1938
Deep Night/Softly As In A Morning Sunrise (Medley),Terry Snyder,Ultra-Lounge_ Vol. 17: Bongoland,2004
Let Me Show You [I Just Want To Make You Smile],Marcus Miller,Suddenly,1983
Monster For Music,Beatnuts,A Musical Massacre (Explicit),1967
Complain,Ayo,Joyful,2006
Daydreaming [Jakwob Remix],Kid Sister,Ultraviolet,2009
Dansende Foran Speilet,Mons Leidvin Takle,Gyldne \xc3\x98yeblikk,1995
Ease,Public Image Ltd,Compact Disc,1985
Everchanging,Rise Against,This Is Noise,2001
Too much informa,Sizzla,Bien Sobre Mal Vol. 3: Black Rain Riddim,2005
bLinsidieuse (Live),Richard Galliano,Original Album Classics,1994
So Hot,Helen Love,Radio Hits,1994
